reading_id,date,hour,location_id,PM2.5,PM10,NO2,CO,O3,AQI_value,AQI_category,neighborhood_name,zone_type,population_density,avg_income_level,distance_from_city_center_km,temperature,humidity,wind_speed,rainfall
40,2024-01-01,3,10,37.8,50.4,31.6,0.9,14.1,63.0,Moderate,Market District,Commercial,42000,81651,4,12.7,54,13.8,0.0
41,2024-01-01,4,1,46.2,61.6,30.5,1.0,25.7,77.0,Moderate,Industrial Heights,Industrial,50000,87311,12,12.5,41,12.2,0.0
42,2024-01-01,4,2,31.2,41.6,19.0,2.0,21.6,52.0,Moderate,Green Valley,Residential,35000,51854,15,9.3,45,24.6,0.0
43,2024-01-01,4,3,24.6,32.8,23.3,1.5,31.9,41.0,Good,Downtown Core,Commercial,80000,66108,2,13.2,79,24.9,18.3
44,2024-01-01,4,4,13.8,18.4,40.5,0.3,12.6,23.0,Good,East Port,Industrial,45000,87308,8,17.6,67,8.4,7.4
45,2024-01-01,4,5,35.4,47.2,27.1,1.3,25.7,59.0,Moderate,Westside Suburbs,Residential,60000,53094,20,8.8,65,7.8,0.0
46,2024-01-01,4,6,6.0,8.0,11.7,1.5,6.6,10.0,Good,Central Business District,Commercial,25000,48067,1,8.8,56,20.3,17.0
47,2024-01-01,4,7,15.0,20.0,34.0,1.9,19.2,25.0,Good,North Park,Residential,40000,77384,10,17.9,42,24.3,18.3
48,2024-01-01,4,8,57.6,76.8,37.5,1.3,23.8,96.0,Moderate,South Refinery,Industrial,30000,69515,14,13.8,73,14.5,0.0
49,2024-01-01,4,9,13.8,18.4,34.9,1.4,25.6,23.0,Good,Riverside,Residential,55000,62322,5,7.7,77,16.7,0.0
50,2024-01-01,4,10,31.8,42.4,18.6,1.9,17.6,53.0,Moderate,Market District,Commercial,42000,81651,4,12.7,54,13.8,0.0
51,2024-01-01,5,1,37.8,50.4,12.0,1.4,37.4,63.0,Moderate,Industrial Heights,Industrial,50000,87311,12,12.5,41,12.2,0.0
52,2024-01-01,5,2,26.4,28.8,20.4,0.7,13.5,36.0,Good,Green Valley,Residential,35000,51854,15,9.3,45,24.6,0.0
53,2024-01-01,5,3,15.0,20.0,31.7,0.4,24.7,25.0,Good,Downtown Core,Commercial,80000,66108,2,13.2,79,24.9,18.3
54,2024-01-01,5,4,36.6,48.8,34.8,0.4,8.6,61.0,Moderate,East Port,Industrial,45000,87308,8,17.6,67,8.4,7.4
55,2024-01-01,5,5,35.4,47.2,48.6,1.4,23.9,59.0,Moderate,Westside Suburbs,Residential,60000,53094,20,8.8,65,7.8,0.0
56,2024-01-01,5,6,30.0,40.0,42.4,1.0,38.9,50.0,Good,Central Business District,Commercial,25000,48067,1,8.8,56,20.3,17.0
57,2024-01-01,5,7,6.0,8.0,49.6,1.9,26.4,10.0,Good,North Park,Residential,40000,77384,10,17.9,42,24.3,18.3
58,2024-01-01,5,8,45.6,60.8,46.3,2.0,39.2,76.0,Moderate,South Refinery,Industrial,30000,69515,14,13.8,73,14.5,0.0
59,2024-01-01,5,9,8.4,11.2,21.1,0.9,12.6,14.0,Good,Riverside,Residential,55000,62322,5,7.7,77,16.7,0.0
60,2024-01-01,5,10,28.2,37.6,10.2,1.0,5.4,47.0,Good,Market District,Commercial,42000,81651,4,12.7,54,13.8,0.0
61,2024-01-01,6,1,56.4,75.2,19.0,0.4,19.4,94.0,Moderate,Industrial Heights,Industrial,50000,87311,12,12.5,41,12.2,0.0
62,2024-01-01,6,2,38.4,51.2,21.1,1.5,16.3,64.0,Moderate,Green Valley,Residential,35000,51854,15,9.3,45,24.6,0.0
63,2024-01-01,6,3,6.6,8.8,38.7,0.1,11.5,11.0,Good,Downtown Core,Commercial,80000,66108,2,13.2,79,24.9,18.3
64,2024-01-01,6,4,24.6,32.8,46.7,1.3,9.7,41.0,Good,East Port,Industrial,45000,87308,8,17.6,67,8.4,7.4
65,2024-01-01,6,5,23.4,31.2,46.2,1.6,22.4,39.0,Good,Westside Suburbs,Residential,60000,53094,20,8.8,65,7.8,0.0
66,2024-01-01,6,6,20.4,27.2,49.7,0.6,21.5,34.0,Good,Central Business District,Commercial,25000,48067,1,8.8,56,20.3,17.0
67,2024-01-01,6,7,6.0,8.0,31.1,1.3,7.3,10.0,Good,North Park,Residential,40000,77384,10,17.9,42,24.3,18.3
68,2024-01-01,6,8,51.6,68.8,16.8,2.0,10.9,86.0,Moderate,South Refinery,Industrial,30000,69515,14,13.8,73,14.5,0.0
69,2024-01-01,6,9,19.2,25.6,47.0,1.0,39.1,32.0,Good,Riverside,Residential,55000,62322,5,7.7,77,16.7,0.0
70,2024-01-01,6,10,35.4,47.2,36.2,0.5,36.6,59.0,Moderate,Market District,Commercial,42000,81651,4,12.7,54,13.8,0.0
71,2024-01-01,7,1,52.8,70.4,32.8,0.7,9.2,88.0,Moderate,Industrial Heights,Industrial,50000,87311,12,12.5,41,12.2,0.0
72,2024-01-01,7,2,24.0,32.0,20.6,1.6,38.7,40.0,Good,Green Valley,Residential,35000,51854,15,9.3,45,24.6,0.0
73,2024-01-01,7,3,13.8,18.4,26.0,0.6,32.2,23.0,Good,Downtown Core,Commercial,80000,66108,2,13.2,79,24.9,18.3
74,2024-01-01,7,4,28.8,38.4,18.3,1.3,17.1,48.0,Good,East Port,Industrial,45000,87308,8,17.6,67,8.4,7.4
75,2024-01-01,7,5,22.8,30.4,11.8,1.3,10.2,38.0,Good,Westside Suburbs,Residential,60000,53094,20,8.8,65,7.8,0.0
76,2024-01-01,7,6,14.4,19.2,25.9,0.7,27.2,24.0,Good,Central Business District,Commercial,25000,48067,1,8.8,56,20.3,17.0
77,2024-01-01,7,7,6.0,8.0,44.9,1.2,12.9,10.0,Good,North Park,Residential,40000,77384,10,17.9,42,24.3,18.3
78,2024-01-01,7,8,61.8,82.4,12.0,1.7,33.4,103.0,Unhealthy for Sensitive Groups,South Refinery,Industrial,30000,69515,14,13.8,73,14.5,0.0
79,2024-01-01,7,9,28.8,38.4,22.2,1.6,19.9,48.0,Good,Riverside,Residential,55000,62322,5,7.7,77,16.7,0.0
80,2024-01-01,7,10,33.0,44.0,30.1,1.4,28.3,55.0,Moderate,Market District,Commercial,42000,81651,4,12.7,54,13.8,0.0
81,2024-01-01,8,1,84.0,112.0,11.8,0.8,6.1,140.0,Unhealthy for Sensitive Groups,Industrial Heights,Industrial,50000,87311,12,12.5,41,12.2,0.0
82,2024-01-01,8,2,50.4,67.2,22.3,0.8,23.1,84.0,Moderate,Green Valley,Residential,35000,51854,15,9.3,45,24.6,0.0
83,2024-01-01,8,3,58.2,77.6,20.8,1.4,30.7,97.0,Moderate,Downtown Core,Commercial,80000,66108,2,13.2,79,24.9,18.3
84,2024-01-01,8,4,63.0,84.0,19.2,1.4,26.2,105.0,Unhealthy for Sensitive Groups,East Port,Industrial,45000,87308,8,17.6,67,8.4,7.4
85,2024-01-01,8,5,52.8,70.4,21.8,0.5,9.4,88.0,Moderate,Westside Suburbs,Residential,60000,53094,20,8.8,65,7.8,0.0
86,2024-01-01,8,6,51.6,68.8,11.1,1.8,26.2,86.0,Moderate,Central Business District,Commercial,25000,48067,1,8.8,56,20.3,17.0
87,2024-01-01,8,7,21.6,28.8,35.0,1.1,19.7,36.0,Good,North Park,Residential,40000,77384,10,17.9,42,24.3,18.3
88,2024-01-01,8,8,67.8,90.4,17.4,0.1,8.0,113.0,Unhealthy for Sensitive Groups,South Refinery,Industrial,30000,69515,14,13.8,73,14.5,0.0
89,2024-01-01,8,9,43.2,57.6,34.9,1.5,21.4,72.0,Moderate,Riverside,Residential,55000,62322,5,7.7,77,16.7,0.0
90,2024-01-01,8,10,67.2,89.6,39.7,1.9,35.2,113.5,Unhealthy for Sensitive Groups,Market District,Commercial,42000,81651,4,12.7,54,13.8,0.0
91,2024-01-01,9,1,93.0,124.0,19.8,1.7,33.3,155.0,Unhealthy,Industrial Heights,Industrial,50000,87311,12,12.5,41,12.2,0.0
92,2024-01-01,9,2,73.8,98.4,17.2,1.6,18.5,123.0,Unhealthy for Sensitive Groups,Green Valley,Residential,35000,51854,15,9.3,45,24.6,0.0
93,2024-01-01,9,3,53.4,71.2,34.4,0.7,34.7,89.0,Moderate,Downtown Core,Commercial,80000,66108,2,13.2,79,24.9,18.3
94,2024-01-01,9,4,64.2,85.6,14.0,0.5,13.2,107.0,Unhealthy for Sensitive Groups,East Port,Industrial,45000,87308,8,17.6,67,8.4,7.4
95,2024-01-01,9,5,37.2,49.6,49.7,0.8,17.4,89.0,Moderate,Westside Suburbs,Residential,60000,53094,20,8.8,65,7.8,0.0
96,2024-01-01,9,6,42.6,56.8,46.9,1.5,12.0,71.0,Moderate,Central Business District,Commercial,25000,48067,1,8.8,56,20.3,17.0
97,2024-01-01,9,7,28.8,38.4,11.2,2.0,29.9,48.0,Good,North Park,Residential,40000,77384,10,17.9,42,24.3,18.3
98,2024-01-01,9,8,72.0,96.0,45.2,2.0,38.3,120.0,Unhealthy for Sensitive Groups,South Refinery,Industrial,30000,69515,14,13.8,73,14.5,0.0
99,2024-01-01,9,9,52.2,69.6,42.5,2.0,26.1,87.0,Moderate,Riverside,Residential,55000,62322,5,7.7,77,16.7,0.0
100,2024-01-01,9,10,61.2,81.6,19.7,1.4,39.0,102.0,Unhealthy for Sensitive Groups,Market District,Commercial,42000,81651,4,12.7,54,13.8,0.0
101,2024-01-01,10,1,30.0,40.0,13.7,0.1,38.7,50.0,Good,Industrial Heights,Industrial,50000,87311,12,12.5,41,12.2,0.0
102,2024-01-01,10,2,30.6,40.8,26.0,1.0,13.5,51.0,Moderate,Green Valley,Residential,35000,51854,15,9.3,45,24.6,0.0
103,2024-01-01,10,3,7.8,10.4,22.7,0.6,19.4,13.0,Good,Downtown Core,Commercial,80000,66108,2,13.2,79,24.9,18.3
104,2024-01-01,10,4,31.8,42.4,11.8,0.3,31.1,53.0,Moderate,East Port,Industrial,45000,87308,8,17.6,67,8.4,7.4
105,2024-01-01,10,5,42.6,56.8,26.2,1.4,25.6,71.0,Moderate,Westside Suburbs,Residential,60000,53094,20,8.8,65,7.8,0.0
106,2024-01-01,10,6,9.6,12.8,26.2,1.6,8.5,16.0,Good,Central Business District,Commercial,25000,48067,1,8.8,56,20.3,17.0
107,2024-01-01,10,7,6.0,8.0,22.7,0.9,12.3,10.0,Good,North Park,Residential,40000,77384,10,17.9,42,24.3,18.3
108,2024-01-01,10,8,45.0,60.0,42.1,1.3,20.5,75.0,Moderate,South Refinery,Industrial,30000,69515,14,13.8,73,14.5,0.0
109,2024-01-01,10,9,33.6,44.8,46.4,0.6,27.3,56.0,Moderate,Riverside,Residential,55000,62322,5,7.7,77,16.7,0.0
110,2024-01-01,10,10,53.4,71.2,16.5,0.7,21.3,89.0,Moderate,Market District,Commercial,42000,81651,4,12.7,54,13.8,0.0
111,2024-01-01,11,1,36.6,48.8,30.3,1.3,23.1,61.0,Moderate,Industrial Heights,Industrial,50000,87311,12,12.5,41,12.2,0.0
112,2024-01-01,11,2,28.2,37.6,20.2,0.2,24.9,47.0,Good,Green Valley,Residential,35000,51854,15,9.3,45,24.6,0.0
113,2024-01-01,11,3,13.8,18.4,24.7,1.7,37.4,23.0,Good,Downtown Core,Commercial,80000,66108,2,13.2,79,24.9,18.3
114,2024-01-01,11,4,28.8,38.4,35.6,0.4,23.8,48.0,Good,East Port,Industrial,45000,87308,8,17.6,67,8.4,7.4
115,2024-01-01,11,5,47.4,63.2,33.1,1.8,12.0,79.0,Moderate,Westside Suburbs,Residential,60000,53094,20,8.8,65,7.8,0.0
116,2024-01-01,11,6,6.0,8.0,23.3,1.6,21.4,10.0,Good,Central Business District,Commercial,25000,48067,1,8.8,56,20.3,17.0
117,2024-01-01,11,7,7.8,10.4,25.7,0.7,8.5,13.0,Good,North Park,Residential,40000,77384,10,17.9,42,24.3,18.3
118,2024-01-01,11,8,52.2,69.6,42.9,1.4,11.2,87.0,Moderate,South Refinery,Industrial,30000,69515,14,13.8,73,14.5,0.0
119,2024-01-01,11,9,33.6,44.8,25.4,0.7,32.9,56.0,Moderate,Riverside,Residential,55000,62322,5,7.7,77,16.7,0.0
120,2024-01-01,11,10,36.6,48.8,26.0,1.7,33.2,61.0,Moderate,Market District,Commercial,42000,81651,4,12.7,54,13.8,0.0
121,2024-01-01,12,1,50.4,67.2,19.4,1.7,5.2,84.0,Moderate,Industrial Heights,Industrial,50000,87311,12,12.5,41,12.2,0.0
122,2024-01-01,12,2,20.4,27.2,23.6,0.4,29.6,34.0,Good,Green Valley,Residential,35000,51854,15,9.3,45,24.6,0.0
123,2024-01-01,12,3,20.4,27.2,14.0,0.3,32.3,34.0,Good,Downtown Core,Commercial,80000,66108,2,13.2,79,24.9,18.3
124,2024-01-01,12,4,26.4,35.2,37.8,0.3,31.6,44.0,Good,East Port,Industrial,45000,87308,8,17.6,67,8.4,7.4
125,2024-01-01,12,5,29.4,39.2,16.0,0.5,5.2,49.0,Good,Westside Suburbs,Residential,60000,53094,20,8.8,65,7.8,0.0
126,2024-01-01,12,6,14.4,19.2,43.5,0.3,18.1,24.0,Good,Central Business District,Commercial,25000,48067,1,8.8,56,20.3,17.0
127,2024-01-01,12,7,9.0,12.0,23.1,0.5,15.5,15.0,Good,North Park,Residential,40000,77384,10,17.9,42,24.3,18.3
128,2024-01-01,12,8,47.4,63.2,16.1,1.2,23.8,79.0,Moderate,South Refinery,Industrial,30000,69515,14,13.8,73,14.5,0.0
129,2024-01-01,12,9,33.6,44.8,22.5,1.2,34.0,56.0,Moderate,Riverside,Residential,55000,62322,5,7.7,77,16.7,0.0
130,2024-01-01,12,10,35.4,47.2,48.8,0.5,13.2,59.0,Moderate,Market District,Commercial,42000,81651,4,12.7,54,13.8,0.0
131,2024-01-01,13,1,31.8,42.4,15.4,1.5,10.0,53.0,Moderate,Industrial Heights,Industrial,50000,87311,12,12.5,41,12.2,0.0
132,2024-01-01,13,2,34.8,46.4,32.5,0.5,30.0,58.0,Moderate,Green Valley,Residential,35000,51854,15,9.3,45,24.6,0.0
133,2024-01-01,13,3,9.6,12.8,15.5,0.5,33.0,16.0,Good,Downtown Core,Commercial,80000,66108,2,13.2,79,24.9,18.3
134,2024-01-01,13,4,24.0,32.0,35.1,1.5,23.5,40.0,Good,East Port,Industrial,45000,87308,8,17.6,67,8.4,7.4
135,2024-01-01,13,5,18.6,24.8,41.9,1.5,8.0,31.0,Good,Westside Suburbs,Residential,60000,53094,20,8.8,65,7.8,0.0
136,2024-01-01,13,6,30.0,40.0,15.5,1.8,14.6,50.0,Good,Central Business District,Commercial,25000,48067,1,8.8,56,20.3,17.0
137,2024-01-01,13,7,6.0,8.0,12.2,0.9,17.1,10.0,Good,North Park,Residential,40000,77384,10,17.9,42,24.3,18.3
138,2024-01-01,13,8,76.2,101.6,27.0,1.3,6.9,127.0,Unhealthy for Sensitive Groups,South Refinery,Industrial,30000,69515,14,13.8,73,14.5,0.0
139,2024-01-01,13,9,33.0,44.0,48.6,1.5,16.3,55.0,Moderate,Riverside,Residential,55000,62322,5,7.7,77,16.7,0.0
140,2024-01-01,13,10,37.8,50.4,15.7,1.7,34.2,63.0,Moderate,Market District,Commercial,42000,81651,4,12.7,54,13.8,0.0
141,2024-01-01,14,1,47.4,63.2,42.1,0.8,5.8,79.0,Moderate,Industrial Heights,Industrial,50000,87311,12,12.5,41,12.2,0.0
142,2024-01-01,14,2,26.4,35.2,31.5,0.3,38.0,44.0,Good,Green Valley,Residential,35000,51854,15,9.3,45,24.6,0.0
143,2024-01-01,14,3,22.2,29.6,10.6,1.6,19.4,37.0,Good,Downtown Core,Commercial,80000,66108,2,13.2,79,24.9,18.3
144,2024-01-01,14,4,35.4,47.2,22.4,1.8,33.5,59.0,Moderate,East Port,Industrial,45000,87308,8,17.6,67,8.4,7.4
145,2024-01-01,14,5,28.8,38.4,16.8,0.5,29.6,48.0,Good,Westside Suburbs,Residential,60000,53094,20,8.8,65,7.8,0.0
146,2024-01-01,14,6,18.6,24.8,28.6,0.6,28.6,31.0,Good,Central Business District,Commercial,25000,48067,1,8.8,56,20.3,17.0
147,2024-01-01,14,7,6.0,8.0,16.0,0.9,25.0,10.0,Good,North Park,Residential,40000,77384,10,17.9,42,24.3,18.3
148,2024-01-01,14,8,46.2,61.6,35.1,1.0,25.1,77.0,Moderate,South Refinery,Industrial,30000,69515,14,13.8,73,14.5,0.0
149,2024-01-01,14,9,22.2,29.6,43.3,1.2,16.7,37.0,Good,Riverside,Residential,55000,62322,5,7.7,77,16.7,0.0
150,2024-01-01,14,10,46.2,61.6,15.0,1.9,22.9,77.0,Moderate,Market District,Commercial,42000,81651,4,12.7,54,13.8,0.0
151,2024-01-01,15,1,52.8,70.4,47.8,0.6,34.2,88.0,Moderate,Industrial Heights,Industrial,50000,87311,12,12.5,41,12.2,0.0
152,2024-01-01,15,2,6.0,8.0,13.3,0.5,28.5,10.0,Good,Green Valley,Residential,35000,51854,15,9.3,45,24.6,0.0
153,2024-01-01,15,3,23.4,31.2,32.7,1.0,37.8,39.0,Good,Downtown Core,Commercial,80000,66108,2,13.2,79,24.9,18.3
154,2024-01-01,15,4,31.2,41.6,12.7,0.4,24.5,52.0,Moderate,East Port,Industrial,45000,87308,8,17.6,67,8.4,7.4
155,2024-01-01,15,5,23.4,31.2,26.5,0.8,36.4,39.0,Good,Westside Suburbs,Residential,60000,53094,20,8.8,65,7.8,0.0
156,2024-01-01,15,6,14.4,19.2,22.5,1.4,8.2,24.0,Good,Central Business District,Commercial,25000,48067,1,8.8,56,20.3,17.0
157,2024-01-01,15,7,15.6,20.8,26.4,2.0,18.7,26.0,Good,North Park,Residential,40000,77384,10,17.9,42,24.3,18.3
158,2024-01-01,15,8,56.4,75.2,47.3,1.5,25.8,94.0,Moderate,South Refinery,Industrial,30000,69515,14,13.8,73,14.5,0.0
159,2024-01-01,15,9,16.8,22.4,21.0,1.1,7.9,28.0,Good,Riverside,Residential,55000,62322,5,7.7,77,16.7,0.0
160,2024-01-01,15,10,39.6,52.8,15.0,1.5,10.3,66.0,Moderate,Market District,Commercial,42000,81651,4,12.7,54,13.8,0.0
161,2024-01-01,16,1,39.0,52.0,14.8,1.7,8.2,65.0,Moderate,Industrial Heights,Industrial,50000,87311,12,12.5,41,12.2,0.0
162,2024-01-01,16,2,11.4,15.2,23.0,1.5,29.5,19.0,Good,Green Valley,Residential,35000,51854,15,9.3,45,24.6,0.0
163,2024-01-01,16,3,12.0,16.0,48.3,0.4,5.3,20.0,Good,Downtown Core,Commercial,80000,66108,2,13.2,79,24.9,18.3
164,2024-01-01,16,4,37.2,49.6,23.1,1.7,19.1,62.0,Moderate,East Port,Industrial,45000,87308,8,17.6,67,8.4,7.4
165,2024-01-01,16,5,32.4,43.2,21.6,1.1,8.7,54.0,Moderate,Westside Suburbs,Residential,60000,53094,20,8.8,65,7.8,0.0
166,2024-01-01,16,6,22.2,29.6,19.9,2.0,22.1,37.0,Good,Central Business District,Commercial,25000,48067,1,8.8,56,20.3,17.0
167,2024-01-01,16,7,12.0,16.0,24.0,0.1,16.7,20.0,Good,North Park,Residential,40000,77384,10,17.9,42,24.3,18.3
168,2024-01-01,16,8,52.2,69.6,38.0,0.1,35.6,87.0,Moderate,South Refinery,Industrial,30000,69515,14,13.8,73,14.5,0.0
169,2024-01-01,16,9,18.0,24.0,43.0,1.5,37.4,30.0,Good,Riverside,Residential,55000,62322,5,7.7,77,16.7,0.0
170,2024-01-01,16,10,39.6,52.8,30.2,1.5,27.2,66.0,Moderate,Market District,Commercial,42000,81651,4,12.7,54,13.8,0.0
171,2024-01-01,17,1,55.2,73.6,42.4,1.5,20.6,92.0,Moderate,Industrial Heights,Industrial,50000,87311,12,12.5,41,12.2,0.0
172,2024-01-01,17,2,30.6,40.8,26.9,1.7,19.8,51.0,Moderate,Green Valley,Residential,35000,51854,15,9.3,45,24.6,0.0
173,2024-01-01,17,3,28.2,37.6,37.7,0.2,12.9,47.0,Good,Downtown Core,Commercial,80000,66108,2,13.2,79,24.9,18.3
174,2024-01-01,17,4,36.0,48.0,47.2,1.4,5.8,60.0,Moderate,East Port,Industrial,45000,87308,8,17.6,67,8.4,7.4
175,2024-01-01,17,5,27.0,36.0,27.3,0.7,32.6,45.0,Good,Westside Suburbs,Residential,60000,53094,20,8.8,65,7.8,0.0
176,2024-01-01,17,6,27.6,36.8,38.1,1.7,14.1,46.0,Good,Central Business District,Commercial,25000,48067,1,8.8,56,20.3,17.0
177,2024-01-01,17,7,6.0,8.0,20.8,1.5,38.2,10.0,Good,North Park,Residential,40000,77384,10,17.9,42,24.3,18.3
178,2024-01-01,17,8,39.6,52.8,11.9,1.3,11.0,66.0,Moderate,South Refinery,Industrial,30000,69515,14,13.8,73,14.5,0.0
179,2024-01-01,17,9,22.2,29.6,15.3,1.7,30.3,37.0,Good,Riverside,Residential,55000,62322,5,7.7,77,16.7,0.0
180,2024-01-01,17,10,28.8,38.4,45.9,0.3,15.2,48.0,Good,Market District,Commercial,42000,81651,4,12.7,54,13.8,0.0
181,2024-01-01,18,1,71.4,95.2,47.6,0.4,14.4,119.0,Unhealthy for Sensitive Groups,Industrial Heights,Industrial,50000,87311,12,12.5,41,12.2,0.0
182,2024-01-01,18,2,52.2,69.6,35.2,2.0,22.7,87.0,Moderate,Green Valley,Residential,35000,51854,15,9.3,45,24.6,0.0
183,2024-01-01,18,3,40.8,54.4,10.5,1.7,20.5,68.0,Moderate,Downtown Core,Commercial,80000,66108,2,13.2,79,24.9,18.3
184,2024-01-01,18,4,57.0,76.0,20.5,1.9,34.3,95.0,Moderate,East Port,Industrial,45000,87308,8,17.6,67,8.4,7.4
185,2024-01-01,18,5,36.6,48.8,46.4,1.8,35.1,61.0,Moderate,Westside Suburbs,Residential,60000,53094,20,8.8,65,7.8,0.0
